old,modern
Iles,isles
shippes,ships
ransacke,ransack
emures,immures
rauish'd,ravished
Queene,queen
sleepes,sleeps
Quarrell,quarrel
frautage,fraughtage
Plaines,plains
Antenonidus,Antenorides
arm'd,armed
Authors,author's
broyles,broils
finde,find
Warre,war
doore,door
Capitoll,Capitol
Romanes,Romans
Freedome,freedom
striue,strive
Warres,wars
Gothes,Goths
Sonnes,sons
yoak'd,yoked
yeares,years
vndertooke,undertook
Fiue,Five
return'd,returned
Armes,arms
haue,have
Suters,suitors
Pleade,Plead
Bassia,BASSIANUS
affie,affy
iust,just
vnto,unto
kinde,kind
Senat,senate
whence,where
Moore,Moor
Barke,bark
discharg'd,discharged
wegih'd,weighed
resalute,re-salute
ioy,joy
returne,return
Suruiue,survive
Loue,love
buriall,burial
owne,own
houer,hover
dreadfull,dreadful
Stix,Styx
Bretheren,brethren
Tombe,tomb
greete,greet
sleepe,sleep
slaine,slain
ioyes,joys
neuer,never
limbes,limbs
manus,manes
earthly,earthy
shadowes,shadows
vnappeas'd,unappeased
disturb'd,disturbed
Suruiues,survives
teares,tears
sonne,son
beautifie,beautify
Countries,country's
staine,stain
neere,near
mercifull,merciful
Nobilities,nobility's
Aliue,Alive
aske,ask
markt,marked
Luc,LUCIUS
cruell,cruel
Chi,CHIRON
euer,never
halfe,half
suruiue,survive
vnder,under
resolu'd,resolved
withall,withal
fauour,favour
the,these
vpon,upon
skie,sky
nought,naught
interre,inter
Tit,TITUS
heere,here
chaunces,chances
Heere,Here
stormes,storms
noyse,noise
Lauinia,Lavinia
the,this
blesse,bless
Cordiall,cordial
vertues,virtue's
liue,live
beloued,beloved
Mar,MARCUS
succesfull,successful
iustice,justice
helpe,help
Then,Than
feeblenesse,feebleness
d'on,don
resigne,resign
businesse,business
Souldier,soldier
successefully,successfully
Seruice,service
Vpright,Upright
shipt,shipped
then,than
meanes,means
doe,do
Friend,friends
thankefull,thankful
thankes,thanks
voyces,voices
gratifie,gratify
thanke,thank
Emperours,emperor's
Vertues,virtues
Iustice,justice
Common-weale,commonweal
Voyces,voices
euery,every
Plebeans,plebeians
Emperour,Emperor
Fauours,favours
giue,give
gentlenesse,gentleness
aduance,advance
Fealtie,fealty
your,you
Emperour,emperor
cheere,cheer
scorne,scorn
displeas'd,displeased
Nobilitie,nobility
Proclaime,Proclaim
leaue,leave
Marc,MARCUS
cuiquam,cuique
Bass,BASSIANUS
iustly,justly
Beare,Bear
Betroth'd,betrothed
vniust,unjust
sonnes,sons
Traytor,Traitor
Trayterous,traitorous
bragge,brag
goe,go
peece,piece
flourisht,flourished
enioy,enjoy
louely,lovely
Nimphs,nymphs
pleas'd,pleased
readines,readiness
Hymeneus,Hymenaeus
Hand-maid,handmaid
Satur,SATURNINUS
heauens,heavens
wisedome,wisdom
Spousall,spousal
wer't,wert
walke,walk
Confedrates,confederates
Giue,Give
Ti,TITUS
villaine,villain
vouch'd,vouch
intreat,entreat
Euen,even
Boyes,boys
tell,till
Romaine,Roman
Aiax,Ajax
bar'd,barred
ere,e'er
dishonored,dishonoured
Trophees,trophies
adorne,adorn
deuise,device
beholding,beholden
turne,turn
lesse,less
lawes,laws
Meanewhile,Meanwhile
possest,possessed
Answere,Answer
Onely,Only
wrong'd,wronged
zeale,zeal
mou'd,moved
controul'd,controlled
iudge,judge
Tam,TAMORA
euer,ever
heare,hear
speake,speak
sute,suit
Satu,SATURNINUS
Authour,author
vndertake,undertake
speakes,speaks
griefes,griefs
Loose,Lose
vaine,vain
rul'd,ruled
wonne,won
Vpon,Upon
intreats,entreats
race,raze
familie,family
Tamo,TAMORA
incorparate,incorporate
milde,mild
feare,fear
aduise,advice
heauen,heaven
Highnes,highness
Tendring,Tend'ring
sisters,sister's
talke,talk
churle,churl
sware,swore
Batchellour,bachelor
Loue-day,love-day
Maiestie,majesty
Gouernment,government
vnfold,unfold
seeme,seem
aduice,advice
remaines,remains
worke,work
inriched,enriched
beare,bear
drest,dressed
loue,love
giuen,given
thinke,think
Esc,ESCALUS
vndergoe,undergo
Graces,grace's
obseruer,observer
vertues,virtues
Heauen,Heaven
tonch'd,touched
goddesse,goddess
creditour,creditor
aduertise,advertise
remoue,remove
Liue,Live
mettle,metal
euasion,evasion
honors,honours
quicke,quick
needfull,needful
hopefull,hopeful
Duk,DUKE
neede,need
inforce,enforce
lowd,loud
Aues,aves
do's,does
Ang,ANGELO
concernes,concerns
looke,look
bottome,bottom
soone,soon
stuffe,stuff
borne,born
mee,me
minde,mind
saile,sail
Signiors,signors
Burgers,burghers
curtsie,curtsy
reuerence,reverence
flye,fly
wouen,woven
grasse,grass
winde,wind
Sal,SALERIO
docks,docked
kisse,kiss
bethinke,bethink
Vessels,vessel's
streame,stream
roring,roaring
silkes,silks
euen,even
lacke,lack
bechaunc'd,bechanced
Anthonio,Antonio
yeere,year
merchandize,merchandise
Sola,SOLANIO
easie,easy
leape,leap
Ianus,Janus
fram'd,framed
